reward_mode,gamma,row,column,has_key,value,best_action,is_terminal
sparse,0.5,13,5,0,0.6160817339284573,left,False
sparse,0.5,13,5,1,-0.18912188516291312,right,False
sparse,0.5,13,6,0,0.16249414655538416,left,False
sparse,0.5,13,6,1,-0.17625816956647322,right,False
sparse,0.5,13,7,0,-0.03961390424053983,left,False
sparse,0.5,13,7,1,-0.14834367312926966,down,False
sparse,0.5,13,8,0,-0.12919249595644666,left,False
sparse,0.5,13,8,1,-0.09767650814230998,down,False
sparse,0.5,13,9,0,-0.26430653694607953,left,False
sparse,0.5,13,9,1,-0.2222534070687452,left,False
sparse,0.5,13,10,0,-0.2072881539514752,down,False
sparse,0.5,13,10,1,0.42443067395080175,right,False
sparse,0.5,13,11,0,-0.2966960850963731,right,False
sparse,0.5,13,11,1,1.350604539725581,right,False
sparse,0.5,13,12,0,-0.204734103083891,down,False
sparse,0.5,13,12,1,3.2818167426524787,right,False
sparse,0.5,13,13,0,-0.20000261527327304,right,False
sparse,0.5,13,13,1,7.352041213889037,down,False
sparse,0.5,13,14,0,-0.20001885225319926,up,False
sparse,0.5,13,14,1,14.917441744730835,down,False
sparse,0.5,13,15,0,-0.20053143897651832,up,False
sparse,0.5,13,15,1,6.226086894842156,left,False
sparse,0.5,13,16,0,-0.2104718607258974,left,False
sparse,0.5,13,16,1,2.4875509942572,left,False
sparse,0.5,14,1,0,1.5432485749526714,up,False
sparse,0.5,14,1,1,-0.1993856913886621,right,False
sparse,0.5,14,2,0,3.3670943118502286,up,False
sparse,0.5,14,2,1,-0.1980440741249579,right,False
sparse,0.5,14,3,0,1.6046986820609876,up,False
sparse,0.5,14,3,1,-0.19554694183056762,right,False
sparse,0.5,14,4,0,0.6324940452579689,up,False
sparse,0.5,14,4,1,-0.189949173586594,right,False
sparse,0.5,14,5,0,0.18261332362152594,left,False
sparse,0.5,14,5,1,-0.17737960133289457,right,False
sparse,0.5,14,6,0,-0.024774232745453373,left,False
sparse,0.5,14,6,1,-0.14925666401358093,right,False
sparse,0.5,14,7,0,-0.12002508800277527,left,False
sparse,0.5,14,7,1,-0.08661732235806638,right,False
sparse,0.5,14,8,0,-0.16361309809967736,left,False
sparse,0.5,14,8,1,0.052133374605515446,right,False
sparse,0.5,14,9,0,-0.18827975700964958,left,False
sparse,0.5,14,9,1,0.35859750613270325,right,False
sparse,0.5,14,10,0,-0.19809505651638196,down,False
sparse,0.5,14,10,1,1.0593464902398229,down,False
sparse,0.5,14,11,0,-0.19935255921869616,down,False
sparse,0.5,14,11,1,3.2069523148330243,right,False
sparse,0.5,14,12,0,-0.19974792059165822,down,False
sparse,0.5,14,12,1,7.33818839993855,right,False
sparse,0.5,14,13,0,-0.19991422143321994,left,False
sparse,0.5,14,13,1,16.355195723847995,right,False
sparse,0.5,14,14,0,-0.29470173110815867,left,False
sparse,0.5,14,14,1,35.84633834827029,down,False
sparse,0.5,14,16,0,-0.40465418668630887,up,False
sparse,0.5,14,16,1,0.7944671082529502,up,False
sparse,0.5,15,1,0,0.5183972576956962,up,False
sparse,0.5,15,1,1,-0.20380622471094323,right,False
sparse,0.5,15,2,0,1.3035668992949243,up,False
sparse,0.5,15,2,1,-0.19753007909125606,right,False
sparse,0.5,15,3,0,0.6161883133640029,up,False
sparse,0.5,15,3,1,-0.19360700624865274,right,False
sparse,0.5,15,4,0,0.18261865401196217,up,False
sparse,0.5,15,4,1,-0.1849142680890684,right,False
sparse,0.5,15,5,0,-0.02376559433238208,left,False
sparse,0.5,15,5,1,-0.1644166451037751,right,False
sparse,0.5,15,6,0,-0.11887674787194527,left,False
sparse,0.5,15,6,1,-0.115936323278142,right,False
sparse,0.5,15,7,0,-0.16269295190501554,left,False
sparse,0.5,15,7,1,-0.0010697024769969945,right,False
sparse,0.5,15,8,0,-0.18286336098251937,left,False
sparse,0.5,15,8,1,0.2715640167447656,right,False
sparse,0.5,15,9,0,-0.19238362975969311,left,False
sparse,0.5,15,9,1,0.91943163193586,right,False
sparse,0.5,15,10,0,-0.19678358295285173,left,False
sparse,0.5,15,10,1,2.452672498970059,right,False
sparse,0.5,15,11,0,-0.1986510317372192,left,False
sparse,0.5,15,11,1,6.082934558158572,right,False
sparse,0.5,15,12,0,-0.19946144245728475,left,False
sparse,0.5,15,12,1,14.640385465703105,right,False
sparse,0.5,15,13,0,-0.20029845954898662,left,False
sparse,0.5,15,13,1,34.98116647706169,right,False
sparse,0.5,15,14,1,83.56565411166892,right,False
sparse,0.5,15,15,1,0.0,,True
sparse,0.5,16,1,0,0.040999609471578595,up,False
sparse,0.5,16,1,1,-0.2964954898296267,right,False
sparse,0.5,16,2,0,0.43181821352507055,up,False
sparse,0.5,16,2,1,-0.20370083328938415,up,False
sparse,0.5,16,3,0,0.1668384267962174,up,False
sparse,0.5,16,3,1,-0.19727801251895477,up,False
sparse,0.5,16,4,0,-0.024554339345168485,up,False
sparse,0.5,16,4,1,-0.19300277587025677,up,False
sparse,0.5,16,5,0,-0.11886575288218074,up,False
sparse,0.5,16,5,1,-0.18346241348960968,up,False
sparse,0.5,16,6,0,-0.16263498552101915,up,False
sparse,0.5,16,6,1,-0.16091210296569633,up,False
