reward_mode,gamma,lambda,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.9,0.0,exponential,3,3,5,0,-0.27551645042848844,-0.5299895535589849,-0.6813829524899943,1.4792160028895454,1.4792160028895454,right,False
sparse,0.9,0.0,exponential,3,3,5,1,-0.6834004093311292,-0.7327843543520531,-0.6800762534089869,-0.6469012515064582,-0.6469012515064582,right,False
sparse,0.9,0.0,exponential,3,3,6,0,0.999220384720848,0.8732618305427804,0.9707773328947763,1.9675818152908893,1.9675818152908893,right,False
sparse,0.9,0.0,exponential,3,3,6,1,-0.6648123813444042,-0.6455225173839421,-0.6471025037646574,-0.6453359865480913,-0.6453359865480913,right,False
sparse,0.9,0.0,exponential,3,3,7,0,1.3048250453960935,2.126542759509973,1.1884862641442893,2.5971348707906086,2.5971348707906086,right,False
sparse,0.9,0.0,exponential,3,3,7,1,-0.6498863733647086,-0.6554378392615948,-0.652495363355737,-0.657462931672635,-0.6498863733647086,up,False
sparse,0.9,0.0,exponential,3,3,8,0,0.9053827524337913,3.194279356100452,1.79475946578375,1.3316104540135494,3.194279356100452,down,False
sparse,0.9,0.0,exponential,3,3,8,1,-0.6123490513607632,-0.6050577870236657,-0.6110575688683362,-0.6081448874210514,-0.6050577870236657,down,False
sparse,0.9,0.0,exponential,3,3,9,0,-0.2748915451762631,0.29286949953036123,2.1793407525159663,-0.4371073742822489,2.1793407525159663,left,False
sparse,0.9,0.0,exponential,3,3,9,1,-0.5999014167020815,-0.5983062993347924,-0.5986803698185825,-0.6002049221745157,-0.5983062993347924,down,False
sparse,0.9,0.0,exponential,3,3,10,0,-1.1942706915506536,-1.146272100217647,0.7376781461333091,-1.2334171664197515,0.7376781461333091,left,False
sparse,0.9,0.0,exponential,3,3,10,1,-0.5814838401055795,-0.5841248019244042,-0.5872563238888845,-0.6477074897991314,-0.5814838401055795,up,False
sparse,0.9,0.0,exponential,3,3,11,0,-1.2510147468334682,-1.3844737842480006,-1.0052332588107118,-1.4195753548212666,-1.0052332588107118,left,False
sparse,0.9,0.0,exponential,3,3,11,1,-1.037409998732198,-0.6537687515365064,-0.6085949734269751,-0.6760077635388902,-0.6085949734269751,left,False
sparse,0.9,0.0,exponential,3,3,12,0,-1.4303391362476559,-1.941052076266397,-1.2392329810380511,-2.1556442942885123,-1.2392329810380511,left,False
sparse,0.9,0.0,exponential,3,3,12,1,-0.4831702721331247,-0.810833721404723,-0.5057077017844129,-1.0972535296826327,-0.4831702721331247,up,False
sparse,0.9,0.0,exponential,3,3,13,0,-1.5264067043938192,-5.971720998982535,-1.8860248264051838,-2.436563791418337,-1.5264067043938192,up,False
sparse,0.9,0.0,exponential,3,3,13,1,-0.510004263640162,-4.3259933560585555,-0.9385182317369118,-1.022237812980785,-0.510004263640162,up,False
sparse,0.9,0.0,exponential,3,3,14,0,-1.518901938412386,-2.1071818766508743,-1.74668118914993,-1.6198393779027775,-1.518901938412386,up,False
sparse,0.9,0.0,exponential,3,3,14,1,-0.6694005680235112,-1.783574415098728,-1.4926504980695046,-0.7546059096570894,-0.6694005680235112,up,False
sparse,0.9,0.0,exponential,3,3,15,0,-1.576766462270506,-1.7872747495160182,-1.675277612266762,-1.7291515655305867,-1.576766462270506,up,False
sparse,0.9,0.0,exponential,3,3,15,1,-0.6761130550937363,-0.7192998493821804,-0.6428080465080606,-0.6390937877995793,-0.6390937877995793,right,False
sparse,0.9,0.0,exponential,3,3,16,0,-1.7992147115409884,-1.994671795788767,-2.005866483341046,-2.412061058781557,-1.7992147115409884,up,False
sparse,0.9,0.0,exponential,3,3,16,1,-0.76128763049282,-0.7893164494670312,-0.587455797896684,-1.3845455809729146,-0.587455797896684,left,False
sparse,0.9,0.0,exponential,3,4,1,0,-2.4085537263957306,-1.951093251819646,-3.3936299155239684,-3.2736594869160824,-1.951093251819646,down,False
sparse,0.9,0.0,exponential,3,4,1,1,-0.6139382853511742,-0.9723330584529252,-1.7774430734712099,-1.809990091340666,-0.6139382853511742,up,False
